Dia,TELEVISA,CEMEX,Dow Jones Mexico,BIMBO
1,7.09,11.34,3365.21,51.9
2,7.07,11.31,3353.26,49.45
3,7.08,11.32,3375.22,50.26
4,7.05,11.03,3346.17,50.74
5,7.06,11.13,3343.4,50.67
6,7.41,11.52,3324.41,50.54
7,7.59,11.33,3333.71,51.33
8,7.58,11.53,3323.19,51.71
9,7.88,11.5,3349.2,54.35
10,7.56,11.6,3310.99,54.64
11,7.03,11.62,3276.68,54.25
12,7.08,11.65,3338.28,55.16
13,6.91,11.68,3319.89,55.24
14,6.93,11.37,3275.04,54.22
15,7.06,11.48,3306.18,54.75
16,7.03,11.46,3317.49,55.07
17,7.02,11.33,3304.17,55.47
18,7.05,11.2,3304.17,55.86
19,6.98,11.3,3312.59,55.47
20,7.1,11.34,3319.14,55.64
21,7.21,11.33,3301.98,55.89
22,7.4,11.29,3348.51,55.86
23,7.59,11.19,3389.8,56.75
24,7.84,11.25,3420.82,57.74
25,7.68,11.12,3470.98,58.43
26,7.69,11.52,3446.5,57.84
27,7.9,11.87,3446.73,58.6
28,7.87,11.72,3439.82,59.01
29,7.96,11.79,3494.33,58.9
30,7.94,11.71,3438.35,58.92
31,8,11.62,3459.48,59.48
32,8.03,11.62,3433.59,60.77
33,7.95,11.14,3408,59.77
34,8.03,11.23,3376.97,60.49
35,7.88,11.18,3377.29,59.71
36,7.92,11.22,3386.51,59.49
37,8,11.73,3377.97,60.24
38,8.41,11.33,3378.44,60.93
39,8.25,11.12,3411.75,60.95
40,8.03,11.02,3428.81,61.47
41,8.06,10.93,3406.69,61.29
42,8.52,11.2,3407.01,63
43,8.86,10.96,3405.59,62.49
44,8.83,10.94,3424.34,62.78
45,8.82,11.28,3421.13,62.88
46,8.93,11.55,3433.58,64.97
47,9.63,11.93,3451.05,66.53
48,9.52,12.09,3471.51,66.14
49,9.9,11.58,3492.96,63.56
50,9.77,10.66,3512.24,62.58
51,9.69,10.47,3542.06,63.12
52,10.03,10.57,3518,61.47
53,9.96,10.54,3472.18,62.16
54,9.9,10.62,3475.75,61.9
55,9.8,10.59,3454.59,62.18
56,8.61,11.01,3453.71,64.86
57,8.43,11.94,3470.86,63.08
58,9.25,11.95,3487.59,63.91
59,8.97,11.7,3534.15,64.26
60,9.34,11.67,3528.92,64.57
61,9.34,11.78,3520.78,64.54
62,9.49,11.95,3548.41,65.52
63,9.32,11.78,3555.24,65.41
64,8.96,11.81,3587.39,65.09
65,8.6,11.72,3596.64,64.48
66,8.87,11.68,3564.23,64.26
67,9.41,11.97,3564.13,65.9
68,9.5,12.01,3559.81,64.56
69,9.74,11.82,3532.31,64.64
70,9.88,11.8,3561.65,65.8
71,9.8,11.43,3558.38,66.2
72,9.97,11.42,3522.41,67.33
73,9.97,11.63,3511.16,65.77
74,10.31,11.51,3535.45,66.84
75,9.97,12.06,3576.21,67.76
76,9.68,12.26,3510.3,68.21
77,9.4,12.6,3539.37,69.23
78,9.02,12.54,3545.49,68.51
79,8.86,12.62,3542.08,70.09
80,8.54,12.49,3565.86,68.35
81,8.34,12.48,3615.38,67.04
82,8.8,12.33,3590.78,70.11
83,8.16,11.94,3623.14,68.45
84,7.6,11.74,3534.73,68.05
85,7.13,11.59,3520.63,68.94
86,7.14,11.65,3575.85,69.46
87,7.41,11.32,3553.37,67.83
88,7.42,11.28,3535,68.41
89,7.34,11.29,3519.59,69.08
90,7.3,11.36,3518.37,69.24
